CustomerID,longitude,latitude,store1_id_valuation,store2_id_valuation,store3_id_valuation,store4_id_valuation,store5_id_valuation,store6_id_valuation,store7_id_valuation,store8_id_valuation,store9_id_valuation,store10_id_valuation,store11_id_valuation,store12_id_valuation,store13_id_valuation,store14_id_valuation,store15_id_valuation
1,31.20801,30.03583,0.85862,0.10032,0.83999,0.93068,0.16772,0.57966,0.59592,0.8376,0.64801,0.6365,0.46189,0.87714,0.85818,0.52289,0.41516
2,31.20058,30.01601,0.92913,0.97154,0.80296,0.89787,0.0195,0.02032,0.37246,0.88106,0.04897,0.77768,0.94441,0.51021,0.35147,0.69921,0.8262
3,31.23425,30.09848,0.95812,0.32568,0.928,0.91295,0.78358,0.54096,0.05016,0.88349,0.68305,0.21207,0.1301,0.473,0.29256,0.87857,0.62249
4,31.21551,30.07017,0.86263,0.94098,0.83907,0.92347,0.96586,0.33272,0.34554,0.84234,0.14006,0.27792,0.67467,0.42623,0.94048,0.2632,0.9993
5,31.26896,30.02941,0.85934,0.97248,0.85859,0.87613,0.28375,0.20077,0.17783,0.84321,0.34679,0.5975,0.85026,0.99727,0.11628,0.16191,0.19751
6,31.28048,30.05278,0.89506,0.78491,0.89412,0.8377,0.60532,0.30028,0.37857,0.84761,0.04923,0.19196,0.3274,0.8785,0.12765,0.29729,0.02421
7,31.29606,30.04442,0.95127,0.45372,0.91073,0.92324,0.72871,0.51037,0.75112,0.92193,0.578,0.9665,0.32967,0.3819,0.79027,0.77778,0.9843
8,31.24493,30.02992,0.8063,0.42819,0.82281,0.82177,0.74939,0.05627,0.93932,0.83309,0.99285,0.5727,0.46301,0.28242,0.84875,0.23667,0.38873
9,31.26023,30.0326,0.82144,0.75759,0.90725,0.8707,0.47474,0.58438,0.8476,0.87202,0.67479,0.5811,0.10708,0.91835,0.85337,0.00468,0.05642
10,31.26391,30.05562,0.8949,0.49403,0.9201,0.85855,0.04214,0.26491,0.24893,0.904,0.23518,0.90889,0.4827,0.72398,0.74157,0.23701,0.06238
11,31.22338,30.04875,0.83107,0.24049,0.85486,0.87806,0.74106,0.80728,0.61989,0.8839,0.11604,0.33058,0.56633,0.97167,0.99665,0.32091,0.37313
12,31.28185,30.05676,0.84584,0.46945,0.89852,0.89369,0.36415,0.57818,0.86535,0.93031,0.89456,0.56818,0.49052,0.06066,0.69016,0.35158,0.60204
13,31.21122,30.09539,0.82021,0.51209,0.94428,0.93141,0.69948,0.805,0.46048,0.93591,0.87738,0.30184,0.75331,0.61521,0.85439,0.80704,0.03
14,31.23191,30.00282,0.8845,0.6669,0.86941,0.85787,0.88032,0.73791,0.34549,0.83161,0.69394,0.62749,0.01626,0.62815,0.94406,0.41194,0.6316
