Algorithm,AMER
Restaurant,Estimated,Actual,Reserved,Sold,Cancelled,Waste,Revenue,Exposures
Krispy Kreme,10,11,8,69,5,0,5520.00,278
TBS Pizza,10,11,10,69,3,0,10350.00,366
Starbucks,15,17,15,106,6,0,10600.00,352
Paul Bakery,12,14,12,84,6,0,7560.00,316
Costa Coffee,8,9,8,54,5,0,4590.00,312
Greggs,20,23,11,139,0,4,9730.00,265
Pizza Hut,14,16,8,93,0,6,13020.00,270
Pret A Manger,18,21,8,84,0,44,7980.00,135
Subway,16,19,7,92,0,21,10120.00,227
Tim Hortons,10,11,1,18,0,51,1440.00,53
Dunkin Donuts,12,14,8,77,0,7,5775.00,167
Domino's Pizza,15,17,0,6,0,100,780.00,19
Cinnabon,9,10,3,31,0,31,2635.00,73
Caribou Coffee,11,13,0,6,0,71,540.00,8
Panera Bread,13,15,1,15,0,76,1425.00,19
