Algorithm,ANDREW
Restaurant,Estimated,Actual,Reserved,Sold,Cancelled,Waste,Revenue,Exposures
Krispy Kreme,10,11,10,69,5,0,5520.00,242
TBS Pizza,10,11,9,69,4,0,10350.00,423
Starbucks,15,17,15,106,6,0,10600.00,399
Paul Bakery,12,14,12,84,6,0,7560.00,379
Costa Coffee,8,9,8,54,5,0,4590.00,368
Greggs,20,23,12,129,0,14,9030.00,376
Pizza Hut,14,16,12,98,1,1,13720.00,366
Pret A Manger,18,21,4,106,0,22,10070.00,233
Subway,16,19,3,94,0,19,10340.00,305
Tim Hortons,10,11,1,38,0,31,3040.00,73
Dunkin Donuts,12,14,9,76,0,8,5700.00,169
Domino's Pizza,15,17,2,9,0,97,1170.00,37
Cinnabon,9,10,2,55,0,7,4675.00,84
Caribou Coffee,11,13,0,0,0,77,0.00,8
Panera Bread,13,15,0,9,0,82,855.00,38
