Algorithm,BASELINE
Restaurant,Estimated,Actual,Reserved,Sold,Cancelled,Waste,Revenue,Exposures
Krispy Kreme,10,11,10,69,5,0,5520.00,269
TBS Pizza,10,11,10,69,5,0,10350.00,204
Starbucks,15,17,15,106,6,0,10600.00,317
Paul Bakery,12,14,12,84,6,0,7560.00,333
Costa Coffee,8,9,8,54,5,0,4590.00,206
Greggs,20,23,0,0,0,143,0.00,0
Pizza Hut,14,16,8,31,0,68,4340.00,41
Pret A Manger,18,21,16,128,2,0,12160.00,700
Subway,16,19,0,0,0,113,0.00,0
Tim Hortons,10,11,1,12,0,57,960.00,236
Dunkin Donuts,12,14,12,84,3,0,6300.00,444
Domino's Pizza,15,17,0,0,0,106,0.00,0
Cinnabon,9,10,2,57,0,5,4845.00,624
Caribou Coffee,11,13,0,0,0,77,0.00,0
Panera Bread,13,15,1,3,0,88,285.00,126
